Netid State  Recv-Q Send-Q                                          Local Address:Port                    Peer Address:Port  Process                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 43801                              * 43800  users:(("Utility Process",pid=5992,fd=15))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 28097                              * 28098  users:(("gjs",pid=2780,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27287                              * 28018  users:(("tracker-miner-f",pid=2678,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                           * 25911                              * 23665  users:(("rtkit-daemon",pid=1399,fd=2),("rtkit-daemon",pid=1399,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 27161                              * 27162  users:(("gvfs-goa-volume",pid=2531,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                          /run/user/1000/bus 28964                              * 28963  users:(("dbus-daemon",pid=1965,fd=44))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                        /run/user/1000/gvfsd/socket-ZHPE0IGB 29739                              * 27251  users:(("gvfsd-trash",pid=2647,fd=13))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                       /home/meaow/.cache/ibus/dbus-VbxulDtd 27915                              * 27913  users:(("ibus-daemon",pid=2288,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                          /run/user/1000/bus 29867                              * 27320  users:(("dbus-daemon",pid=1965,fd=76))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 24226                              * 26589  users:(("systemd-journal",pid=403,fd=91),("systemd",pid=1,fd=220))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 23665                              * 25911  users:(("systemd-journal",pid=403,fd=56),("systemd",pid=1,fd=115))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_seq ESTAB  0      0                                                           * 44720                              * 44721  users:(("firefox",pid=5309,fd=166))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 28134                              * 29887  users:(("snapd-desktop-i",pid=2900,fd=2),("snapd-desktop-i",pid=2900,fd=1),("snapd-desktop-i",pid=2841,fd=2),("snapd-desktop-i",pid=2841,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 21609                              * 21610  users:(("gdm3",pid=1291,fd=2),("gdm3",pid=1291,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 20938                              * 20937  users:(("dbus-daemon",pid=998,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                                           * 24441                              * 28839  users:(("gsd-datetime",pid=2296,fd=2),("gsd-datetime",pid=2296,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 23443                              * 21338  users:(("gdm3",pid=1291,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str LISTEN 0      4096                           /run/systemd/io.systemd.sysext 17927                              * 0      users:(("systemd",pid=1,fd=196))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 43656                              * 43657  users:(("firefox",pid=5309,fd=51))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                          /run/user/1000/bus 27939                              * 27938  users:(("dbus-daemon",pid=1965,fd=59))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 28968                              * 28969  users:(("gsd-wacom",pid=2330,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 291886                             * 290232 users:(("systemd-hostnam",pid=167221,fd=2),("systemd-hostnam",pid=167221,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 29887                              * 28134  users:(("systemd-journal",pid=403,fd=46),("systemd",pid=1,fd=99))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 28949                              * 28950  users:(("gsd-sharing",pid=2316,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      1536                              /run/dbus/system_bus_socket 24154                              * 22388  users:(("dbus-daemon",pid=998,fd=48))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 26184                              * 26183  users:(("systemd-journal",pid=403,fd=52),("systemd",pid=1,fd=132))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 30739                              * 30114  users:(("update-notifier",pid=3174,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 29449                              * 30032  users:(("systemd-journal",pid=403,fd=58),("systemd",pid=1,fd=107))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 27333                              * 28099  users:(("xdg-desktop-por",pid=2715,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 28114                              * 27341  users:(("dbus-daemon",pid=998,fd=50))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 27264                              * 29750  users:(("gsd-color",pid=2292,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28979                              * 28978  users:(("systemd-journal",pid=403,fd=127),("systemd",pid=1,fd=274))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 14506                              * 14507  users:(("(udev-worker",pid=167525,fd=2),("(udev-worker",pid=167525,fd=1),("systemd-udevd",pid=457,fd=2),("systemd-udevd",pid=457,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                       /home/meaow/.cache/ibus/dbus-VbxulDtd 27942                              * 27941  users:(("ibus-daemon",pid=2288,fd=13))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                          /run/user/1000/bus 27162                              * 27161  users:(("dbus-daemon",pid=1965,fd=30))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_dgr ESTAB  0      0                                                           * 25419                              * 12254  users:(("(sd-pam",pid=1928,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                          /run/user/1000/bus 30114                              * 30739  users:(("dbus-daemon",pid=1965,fd=84))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 30035                              * 27636  users:(("gnome-terminal-",pid=3132,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                          /run/user/1000/bus 22401                              * 22400  users:(("dbus-daemon",pid=1965,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 44623                              * 44622  users:(("WebExtensions",pid=5813,fd=15))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
u_seq ESTAB  0      0                                                           * 43667                              * 43668  users:(("firefox",pid=5309,fd=61))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 28037                              * 28038  users:(("gnome-shell",pid=2169,fd=94),("gnome-shell",pid=2169,fd=92))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 27283                              * 28017  users:(("tracker-miner-f",pid=2678,fd=2),("tracker-miner-f",pid=2678,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
u_str LISTEN 0      128                             /run/user/1000/keyring/pkcs11 22403                              * 0      users:(("gnome-keyring-d",pid=1959,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                           * 21340                              * 21341  users:(("unattended-upgr",pid=1274,fd=4))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                           * 21588                              * 22580  users:(("cupsd",pid=1271,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 27267                              * 27269  users:(("gsd-color",pid=2292,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                                           * 27985                              * 29160  users:(("gvfsd-metadata",pid=2646,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
